Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,36.575001,38.250000,33.450001,34.724998,26.229271,642777626
2014-01-01,34.724998,35.000000,30.825001,31.450001,23.755529,614759182
2014-02-01,31.450001,33.750000,29.625000,31.525000,23.812181,539764352
2014-03-01,31.125000,32.275002,29.549999,32.150002,24.284271,567419338
2014-04-01,32.500000,33.525002,28.025000,28.674999,21.659452,645086804
2014-05-01,28.674999,30.100000,27.799999,29.975000,22.641403,527565018
2014-06-01,29.975000,31.350000,29.450001,30.000000,22.660282,461381894
2014-07-01,30.000000,33.750000,29.049999,33.250000,25.352030,622656928
2014-08-01,33.000000,33.575001,31.400000,31.549999,24.055836,527149136
2014-09-01,31.400000,33.299999,29.125000,29.150000,22.225914,567839296
2014-10-01,29.150000,31.750000,28.525000,31.674999,24.267191,484109678
2014-11-01,31.725000,32.799999,29.000000,32.525002,24.918409,875079862
2014-12-01,33.424999,40.000000,32.375000,39.549999,30.300465,2406029756
2015-01-01,39.549999,44.349998,39.150002,41.299999,31.641197,1531908578
2015-02-01,40.400002,44.000000,40.000000,43.125000,33.039387,604718178
2015-03-01,43.900002,47.750000,40.599998,46.599998,35.701698,1045735330
2015-04-01,46.450001,57.200001,46.400002,55.700001,42.673477,1332320144
2015-05-01,55.700001,62.900002,52.799999,57.049999,43.707760,966527776
2015-06-01,56.200001,58.599998,49.599998,52.349998,40.106949,1006096576
2015-07-01,52.349998,52.349998,41.250000,44.599998,34.169430,1588484822
2015-08-01,44.000000,46.099998,35.000000,37.950001,29.169882,1136264872
2015-09-01,37.849998,41.099998,35.200001,38.349998,29.477339,841630155
2015-10-01,38.349998,45.150002,38.299999,43.650002,33.757751,747091521
2015-11-01,43.200001,46.700001,42.200001,42.450001,32.829700,718528280
2015-12-01,43.000000,44.799999,40.000000,43.000000,33.255058,512185081
2016-01-01,43.000000,43.000000,33.299999,34.950001,27.029400,965887604
2016-02-01,35.099998,35.299999,30.500000,32.900002,25.443985,655634108
2016-03-01,33.349998,38.200001,32.299999,37.099998,28.692148,764730588
2016-04-01,37.450001,38.799999,34.299999,36.650002,28.344135,609235840
2016-05-01,36.650002,36.650002,32.799999,34.700001,26.836060,627760948
2016-06-01,34.450001,35.799999,32.500000,34.150002,26.410704,556402991
2016-07-01,34.150002,37.549999,33.000000,36.200001,27.996117,664324447
2016-08-01,36.400002,41.450001,36.000000,40.150002,31.425276,868195999
2016-09-01,39.950001,44.150002,39.650002,40.200001,31.464415,872630358
2016-10-01,40.750000,42.299999,39.900002,40.950001,32.232430,429136667
2016-11-01,41.099998,43.799999,39.299999,42.900002,33.767315,755916672
2016-12-01,43.049999,43.150002,38.000000,38.799999,30.540131,563441080
2017-01-01,38.799999,40.900002,38.650002,40.099998,31.563391,367283381
2017-02-01,39.849998,43.000000,39.099998,41.400002,32.586639,660558658
2017-03-01,41.400002,44.950001,40.900002,43.500000,34.239582,716726341
2017-04-01,43.799999,44.700001,41.549999,43.799999,34.475719,442333186
2017-05-01,43.799999,51.799999,42.650002,49.950001,39.316483,830712937
2017-06-01,50.200001,53.200001,49.750000,51.450001,40.497162,840168779
2017-07-01,51.650002,59.599998,51.200001,57.950001,45.613422,1027536877
2017-08-01,58.049999,64.900002,55.650002,62.150002,49.489468,1009390842
2017-09-01,62.000000,63.700001,58.849998,59.950001,47.737637,711109959
2017-10-01,59.950001,69.500000,59.950001,68.500000,55.064434,913406331
2017-11-01,69.500000,87.099998,69.349998,77.000000,61.897255,1360363188
2017-12-01,77.449997,83.500000,72.250000,81.349998,65.394058,1146145974
2018-01-01,81.349998,98.849998,80.800003,92.650002,74.477669,1503146452
2018-02-01,92.800003,92.949997,77.500000,83.449997,67.082153,1214190446
2018-03-01,82.400002,94.800003,78.300003,79.800003,64.148064,1405595352
2018-04-01,79.800003,85.400002,75.000000,77.550003,62.339382,1102115167
2018-05-01,77.550003,80.099998,73.699997,76.900002,61.816864,881660123
2018-06-01,77.400002,80.449997,70.300003,72.199997,58.038727,1098140922
2018-07-01,72.199997,75.000000,67.949997,72.800003,58.703178,933845834
2018-08-01,73.599998,77.099998,67.150002,75.599998,60.960983,1057606945
2018-09-01,75.900002,80.500000,71.849998,79.500000,64.105812,853592453
2018-10-01,79.500000,80.250000,71.300003,73.849998,60.109142,995113516
2018-11-01,74.800003,80.099998,73.949997,75.699997,61.614933,743535559
2018-12-01,78.000000,78.349998,68.349998,69.150002,56.283661,678675946
2019-01-01,69.150002,76.300003,65.949997,75.900002,61.777725,833253122
2019-02-01,77.599998,84.750000,75.099998,82.650002,67.271797,618064935
2019-03-01,83.599998,88.449997,80.400002,87.900002,71.544952,839869819
2019-04-01,88.699997,96.000000,88.349998,94.349998,76.794830,708075426
2019-05-01,94.349998,96.000000,82.099998,86.599998,70.486832,810724890
2019-06-01,87.599998,94.900002,84.300003,93.800003,77.518982,565217375
2019-07-01,93.800003,98.000000,92.349998,93.400002,77.188408,474960820
2019-08-01,93.300003,93.699997,85.300003,89.900002,74.295914,644134400
2019-09-01,90.099998,95.400002,88.949997,90.050003,74.419876,461166152
2019-10-01,90.050003,95.500000,88.900002,90.750000,75.699234,471275252
2019-11-01,91.199997,95.000000,88.050003,88.699997,73.989227,431655426
2019-12-01,88.900002,93.800003,88.400002,92.099998,76.825348,392230777
2020-01-01,92.099998,101.000000,88.500000,88.699997,73.989227,663995521
2020-02-01,88.199997,92.400002,85.599998,86.650002,72.279236,660999184
2020-03-01,85.800003,89.500000,69.000000,76.150002,63.520634,1234780291
2020-04-01,75.949997,80.050003,73.500000,79.699997,66.481857,652796516
2020-05-01,79.699997,80.199997,74.599998,76.500000,63.812580,596223935
2020-06-01,77.300003,82.900002,77.099998,77.500000,65.830467,707499584
2020-07-01,77.500000,91.050003,77.500000,82.099998,69.737816,939652065
2020-08-01,81.599998,86.800003,80.699997,82.550003,70.120056,509463802
